Address,Type,Size,Result,Year,Month,Day,x,y
"Haksan-ri, Gujeong-myeon, Gangneung-si, Gangwon-do, South Korea",Swine,50,Negative,2010,12,23,366704.0473,469381.5325
"Geoma-ri, Yangyang-eup, Yangyang-gun, Gangwon-do, South Korea",Cattle,3,Negative,2010,12,22,339301.8591,510915.2309
"Chuibyeong-ri, Munmak-eup, Wonju-si, Gangwon-do, South Korea",Cattle,98,Positive,2010,12,22,269635.7147,425678.5235
"Heungyang-ri, Socho-myeon, Wonju-si, Gangwon-do, South Korea",Cattle,125,Negative,2010,12,23,289964.0683,431136.6146
"Naedae-ri, Galmal-eup, Cheorwon-gun, Gangwon-do, South Korea",Cattle,23,Negative,2010,12,22,226545.1412,522610.7256
"Gwanu-ri, Dongsong-eup, Cheorwon-gun, Gangwon-do, South Korea",Cattle,280,Positive,2010,12,24,220054.7454,529811.6485
"Gajeong-ri, Nam-myeon, Chuncheon-si, Gangwon-do, South Korea",Cattle,25,Positive,2010,12,22,251014.4794,473011.5139
"Sin-ri, Daehwa-myeon, Pyeongchang-gun, Gangwon-do, South Korea",Cattle,27,Positive,2010,12,21,329509.8833,451064.9832
"Myeongwol-ri, Sanae-myeon, Hwacheon-gun, Gangwon-do, South Korea",Cattle,5,Positive,2010,12,21,245958.2454,513427.7159
"Yuhyeon-ri, Seowon-myeon, Hoengseong-gun, Gangwon-do, South Korea",Cattle2,96,Positive,2010,12,23,276499.8933,448568.0127
"Hagung-ri, Ucheon-myeon, Hoengseong-gun, Gangwon-do, South Korea",Cattle,7,Negative,2010,12,23,300347.1063,444549.9673
"Jogok-ri, Hoengseong-eup, Hoengseong-gun, Gangwon-do, South Korea",Cattle,56,Negative,2010,12,23,290411.422,444277.4832
"Hakgok-ri, Hoengseong-eup, Hoengseong-gun, Gangwon-do, South Korea",Cattle,27,Positive,2010,12,22,284269.4829,445525.4176
"Hakgok-ri, Hoengseong-eup, Hoengseong-gun, Gangwon-do, South Korea",Cattle,55,Positive,2010,12,23,284269.4829,445525.4176
"Sinha-ri, Ha-myeon, Gapyeong-gun, Gyeonggi-do, South Korea",Cattle,55,Positive,2010,12,20,232262.9316,481451.2216
"Jungsan-dong, Ilsandong-gu, Goyang-si, Gyeonggi-do, South Korea",Cattle2,53,Positive,2010,12,19,180949.2039,465113.495
"Galsan-ri, Wolgot-myeon, Gimpo-si, Gyeonggi-do, South Korea",Swine,5000,Positive,2010,12,21,162028.6219,468115.4258
"Goyang-ri, Wolgot-myeon, Gimpo-si, Gyeonggi-do, South Korea",NA,0,Positive,2010,4,19,160050.0669,465848.3769
"Siu-ri, Joan-myeon, Namyangju-si, Gyeonggi-do, South Korea",Cattle,17,Negative,2010,12,17,225698.4338,454536.1683
"Sangsu-ri, Nam-myeon, Yangju-si, Gyeonggi-do, South Korea",Swine,1200,Positive,2010,12,14,199159.7353,485706.5177
"Sinae-ri, Yangpyeong-eup, Yangpyeong-gun, Gyeonggi-do, South Korea",Cattle,5,Positive,2010,12,26,244543.0179,446694.0937
"Angeum-ri, Ganam-myeon, Yeoju-gun, Gyeonggi-do, South Korea",Cattle,140,Positive,2010,12,25,253507.4422,413909.4245
"Nogok-ri, Baekhak-myeon, Yeoncheon-gun, Gyeonggi-do, South Korea",Swine,1200,Positive,2010,12,14,193992.1043,499552.2281
"Yangwon-ri, Jeongok-eup, Yeoncheon-gun, Gyeonggi-do, South Korea",Swine,10000,Positive,2010,12,21,202816.7444,497829.1756
"Sannam-ri, Gyoha-eup, Paju-si, Gyeonggi-do, South Korea",Cattle,100,Positive,2010,12,18,173012.3027,466569.06
"Hajiseok-ri, Gyoha-eup, Paju-si, Gyeonggi-do, South Korea",NA,0,Negative,2010,4,13,177894.5143,473216.6541
"Bugok-ri, Paju-eup, Paju-si, Gyeonggi-do, South Korea",Cattle2,180,Positive,2010,12,15,184840.0546,479478.2757
"Jung-ri, Gwanin-myeon, Pocheon-si, Gyeonggi-do, South Korea",Cattle,11,Positive,2010,12,21,216797.1675,512084.5311
"Sajik-ri, Ildong-myeon, Pocheon-si, Gyeonggi-do, South Korea",Cattle,31,Positive,2010,12,21,231135.7242,498389.4392
"Yugeum-ri, Gangdong-myeon, Gyeongju-si, Gyeongsangbuk-do, South Korea",Cattle,40,Negative,2010,12,7,405480.2059,280978.6708
"Nodang-ri, Angang-eup, Gyeongju-si, Gyeongsangbuk-do, South Korea",Swine,800,Negative,2010,12,24,400641.6475,284109.2775
"Bu-ri, Gaejin-myeon, Goryeong-gun, Gyeongsangbuk-do, South Korea",Cattle,40,Negative,2010,12,6,328791.7992,246610.3813
"Seongok-ri, Ubo-myeon, Gunwi-gun, Gyeongsangbuk-do, South Korea",Cattle2,80,Negative,2010,12,23,351522.1647,302151.3951
"Yulgok-ri, Yeongsun-myeon, Mungyeong-si, Gyeongsangbuk-do, South Korea",Cattle,150,Negative,2010,12,15,310248.3781,338953.2277
"Icheon-ri, Namseon-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,37,Positive,2010,12,3,361343.6195,337916.4434
"Noha-dong, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,117,Positive,2010,12,2,350731.0881,344388.8083
"Sinpyeong-ri, Nokjeon-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,6,Negative,2010,12,3,358800.9842,363560.9353
"Dojin-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,100,Positive,2010,12,2,354142.6094,350684.7548
"Dojin-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,80,Positive,2010,12,2,354142.6094,350684.7548
"Dojin-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,35,Positive,2010,12,2,354142.6094,350684.7548
"Dojin-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,36,Positive,2010,12,2,354142.6094,350684.7548
"Dojin-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,35,Positive,2010,12,2,354142.6094,350684.7548
"Dojin-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,20,Positive,2010,12,3,354142.6094,350684.7548
"Mulhan-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,45,Positive,2010,12,3,352992.7752,351994.4318
"Osan-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,1,Positive,2010,12,2,353218.7166,348336.0045
"Janggi-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,53,Positive,2010,12,3,352419.9382,354524.4995
"Janggi-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,83,Negative,2010,12,3,352419.9382,354524.4995
"Janggi-ri, Bukhu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,72,Positive,2010,12,3,352419.9382,354524.4995
"Gwangpyeong-ri, Seohu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,7,Positive,2010,12,3,350558.4149,351296.2416
"Seonggok-ri, Seohu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Swine,12000,Positive,2010,12,4,347902.1543,349545.822
"Isongcheon-ri, Seohu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,5,Positive,2010,11,29,351310.6243,347826.2419
"Isongcheon-ri, Seohu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,6,Positive,2010,12,2,351310.6243,347826.2419
"Jeojeon-ri, Seohu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,69,Positive,2010,12,2,351979.8632,349960.6389
"Jeojeon-ri, Seohu-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,29,Positive,2010,12,2,351979.8632,349960.6389
"Gyegok-ri, Yean-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,42,Positive,2010,12,4,371127.6784,349654.115
"Ok-dong, Andong-si, Gyeongsangbuk-do, South Korea",Swine,13,Negative,2010,12,2,352347.4843,341698.3273
"Gaya-ri, Waryong-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,3,Positive,2010,12,1,359884.6309,351422.5306
"Naso-ri, Waryong-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,150,Positive,2010,12,1,363073.0961,352306.9111
"Seohyeon-ri, Waryong-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Swine,5500,Positive,2010,11,28,356632.6171,354358.2975
"Seohyeon-ri, Waryong-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Swine,3500,Positive,2010,11,28,356632.6171,354358.2975
"Isang-ri, Waryong-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,106,Positive,2010,12,2,355663.5419,348756.5492
"Iha-ri, Waryong-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Swine,4000,Positive,2010,12,2,355372.915,346631.6625
"Jugye-ri, Waryong-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,85,Positive,2010,12,3,361561.7253,349697.6186
"Tae-ri, Waryong-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,65,Positive,2010,12,3,357553.2954,349517.2118
"Tae-ri, Waryong-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,37,Positive,2010,12,3,357553.2954,349517.2118
"Icheon-dong, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,210,Positive,2010,12,1,353250.1287,345766.3388
"Geumgye-ri, Pungcheon-myeon, Andong-si, Gyeongsangbuk-do, South Korea",Cattle,68,Negative,2010,12,2,336057.6969,335630.721
"Goesi-ri, Yeonghae-myeon, Yeongdeok-gun, Gyeongsangbuk-do, South Korea",Cattle,9,Negative,2010,12,15,416810.8152,341247.653
"Dogye-ri, Irwol-myeon, Yeongyang-gun, Gyeongsangbuk-do, South Korea",Cattle,29,Negative,2010,11,30,389894.7819,359721.8487
"Jeongjok-ri, Cheonggi-myeon, Yeongyang-gun, Gyeongsangbuk-do, South Korea",Cattle,3,Positive,2010,12,6,385063.5138,356205.2767
"Yongsang-ri, Isan-myeon, Yeongju-si, Gyeongsangbuk-do, South Korea",Cattle,126,Negative,2010,12,4,350031.5059,368417.6713
"Jeokseo-dong, Yeongju-si, Gyeongsangbuk-do, South Korea",Cattle,56,Positive,2010,12,8,344899.7077,366608.6448
"Yonghyeol-ri, Pyeongeun-myeon, Yeongju-si, Gyeongsangbuk-do, South Korea",Cattle,15,Negative,2010,12,4,348027.9011,361603.7988
"Geumho-ri, Hwanam-myeon, Yeongcheon-si, Gyeongsangbuk-do, South Korea",Swine,24000,Positive,2010,12,23,372209.2279,287585.1529
"Majeon-ri, Jibo-myeon, Yecheon-gun, Gyeongsangbuk-do, South Korea",Cattle,146,Positive,2010,12,14,324228.4809,338647.0757
"Ocheon-ri, Homyeong-myeon, Yecheon-gun, Gyeongsangbuk-do, South Korea",Cattle,45,Positive,2010,12,4,332133.6843,345357.6875
"Dain-myeon, Uiseong-gun, Gyeongsangbuk-do, South Korea",Cattle,57,Negative,2010,12,10,321342.8305,328860.9948
"Ssangho-ri, Ansa-myeon, Uiseong-gun, Gyeongsangbuk-do, South Korea",Cattle,2,Negative,2010,12,5,327226.0504,335723.7062
"Bakgok-ri, Geumcheon-myeon, Cheongdo-gun, Gyeongsangbuk-do, South Korea",Cattle,80,Negative,2010,12,5,374887.1494,242700.6742
"Myeongdang-ri, Andeok-myeon, Cheongsong-gun, Gyeongsangbuk-do, South Korea",Cattle,3,Negative,2010,12,2,376161.1112,313882.0789
"Ichon-ri, Jinbo-myeon, Cheongsong-gun, Gyeongsangbuk-do, South Korea",Cattle,7,Positive,2010,12,26,382069.638,336936.3712
"Yeongyeong-dong, Buk-gu, Daegu, South Korea",Cattle,186,Negative,2010,12,4,345561.0843,274417.665
"Deokseong-ri, Buleun-myeon, Ganghwa-gun, Incheon, South Korea",NA,0,Positive,2010,4,21,157696.8867,462357.9957
"Buleun-myeon, Ganghwa-gun, Incheon, South Korea",Swine,0,Positive,2010,4,9,154151.8956,465327.4557
"Geumwol-ri, Seonwon-myeon, Ganghwa-gun, Incheon, South Korea",NA,0,Positive,2010,4,8,154846.6585,467496.1402
"Geumwol-ri, Seonwon-myeon, Ganghwa-gun, Incheon, South Korea",Cattle,0,Negative,2010,4,10,154846.6585,467496.1402
"Naengjeong-ri, Seonwon-myeon, Ganghwa-gun, Incheon, South Korea",Cattle,0,Positive,2010,4,9,153709.0318,467962.2918
"Naengjeong-ri, Seonwon-myeon, Ganghwa-gun, Incheon, South Korea",Cattle,0,Positive,2010,4,10,153709.0318,467962.2918
"Jisan-ri, Seonwon-myeon, Ganghwa-gun, Incheon, South Korea",Cattle,0,Positive,2010,4,9,156369.9156,468387.1262
"Josan-ri, Yangdo-myeon, Ganghwa-gun, Incheon, South Korea",Swine,890,Positive,2010,12,23,150008.9964,461389.2594
"Gyosan-ri, Yangsa-myeon, Ganghwa-gun, Incheon, South Korea",NA,0,Negative,2010,4,21,146925.7374,478022.7736
"Oryu-dong, Seo-gu, Incheon, South Korea",Swine,3000,Positive,2010,12,26,165480.6934,455194.3977
"Euepyeong-ri, Cheongna-myeon, Boryeong-si, Chungcheongnam-do, South Korea",NA,0,Negative,2010,4,20,169691.0693,320113.0427
"Daeheung-ri, Seongnam-myeon, Dongnam-gu, Cheonan-si, Chungcheongnam-do, South Korea",Deer,32,Negative,2010,12,21,220308.5395,358569.7307
"Yongwon-ri, Sinni-myeon, Chungju-si, Chungcheongbuk-do, South Korea",NA,0,Positive,2010,4,21,265079.1552,388207.1461
